Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
68,Wake Forest,7,217,130,59.9,1603,7.4,14,8,135.88,31,229
69,Indiana,7,245,148,60.4,1608,6.6,14,4,131.13,35,229.7
70,Texas State,7,220,142,64.5,1611,7.3,15,2,146.74,31.4,230.1
71,Florida State,7,232,135,58.2,1613,7,13,6,129.92,33.1,230.4
71,Louisiana-Lafayette,7,200,119,59.5,1613,8.1,11,4,141.4,28.6,230.4
73,Ohio State,7,244,144,59,1616,6.6,11,9,122.15,34.9,230.9
73,USC,7,197,129,65.5,1616,8.2,13,8,148.05,28.1,230.9
75,Akron,8,200,141,70.5,1853,9.3,17,5,171.38,25,231.6
76,Texas,7,218,150,68.8,1623,7.4,8,5,138.87,31.1,231.9
77,Texas Tech,8,251,169,67.3,1869,7.4,15,7,144.02,31.4,233.6
78,Kansas State,7,205,144,70.2,1637,8,7,6,142.73,29.3,233.9
79,Northern Illinois,8,247,140,56.7,1873,7.6,12,1,135.6,30.9,234.1
79,Mississippi State,7,216,133,61.6,1639,7.6,14,7,140.22,30.9,234.1
81,Virginia,8,258,152,58.9,1875,7.3,14,5,133.99,32.3,234.4
82,Ball State,8,242,160,66.1,1890,7.8,9,8,137.38,30.3,236.3
83,TCU,7,182,111,61,1669,9.2,11,6,151.38,26,238.4
84,Connecticut,9,281,171,60.9,2152,7.7,21,8,144.15,31.2,239.1
85,BYU,8,269,177,65.8,1917,7.1,5,8,125.84,33.6,239.6
86,Army,7,185,111,60,1680,9.1,11,4,151.58,26.4,240
87,Utah State,7,215,131,60.9,1683,7.8,9,7,133.99,30.7,240.4
88,Mississippi,7,223,140,62.8,1687,7.6,11,4,139.02,31.9,241
89,Maryland,7,219,122,55.7,1690,7.7,10,4,131.95,31.3,241.4
90,LSU,8,266,171,64.3,1939,7.3,18,7,142.59,33.3,242.4
91,Rice,7,207,130,62.8,1709,8.3,10,8,140.36,29.6,244.1
92,California,7,245,141,57.6,1714,7,13,6,128.93,35,244.9
93,Miami (Florida),7,253,152,60.1,1715,6.8,14,4,132.12,36.1,245
94,Notre Dame,7,257,151,58.8,1721,6.7,7,11,115.44,36.7,245.9
95,Nevada,7,263,169,64.3,1722,6.5,11,6,128.5,37.6,246
96,West Virginia,7,216,141,65.3,1735,8,11,4,145.86,30.9,247.9
97,Appalachian State,7,228,132,57.9,1736,7.6,6,6,125.29,32.6,248
98,Middle Tennessee,7,265,164,61.9,1741,6.6,12,10,124.47,37.9,248.7
99,SMU,7,212,118,55.7,1745,8.2,13,7,138.44,30.3,249.3
100,Tennessee,8,299,189,63.2,1995,6.7,11,8,126.04,37.4,249.4
100,Georgia State,7,217,130,59.9,1746,8,15,2,148.47,31,249.4
100,Massachusetts,7,181,122,67.4,1746,9.6,12,2,168.1,25.9,249.4
103,North Texas,7,203,128,63.1,1752,8.6,17,4,159.24,29,250.3
104,Illinois,8,263,166,63.1,2018,7.7,12,5,138.83,32.9,252.3
104,Georgia Tech,7,210,137,65.2,1766,8.4,15,3,156.59,30,252.3
106,Memphis,8,295,194,65.8,2021,6.9,18,2,142.09,36.9,252.6
107,UTSA,8,263,155,58.9,2033,7.7,15,8,136.61,32.9,254.1
108,South Florida,7,228,143,62.7,1838,8.1,16,8,146.57,32.6,262.6
109,Oregon,7,283,165,58.3,1865,6.6,11,11,118.72,40.4,266.4
110,Tulsa,7,236,145,61.4,1869,7.9,10,6,136.86,33.7,267
111,Kent State,8,304,197,64.8,2163,7.1,11,13,127.96,38,270.4
112,Oklahoma,8,268,176,65.7,2187,8.2,17,3,152.9,33.5,273.4
113,Oregon State,7,273,168,61.5,1926,7.1,11,10,126.77,39,275.1
114,Central Michigan,8,238,148,62.2,2206,9.3,16,3,159.72,29.8,275.8
115,Western Kentucky,7,252,157,62.3,1933,7.7,11,4,137.97,36,276.1
116,Louisville,7,268,172,64.2,1934,7.2,12,9,132.85,38.3,276.3
117,New Mexico State,8,242,163,67.4,2211,9.1,18,8,162.04,30.3,276.4
118,Duke,7,225,124,55.1,1945,8.6,15,7,143.5,32.1,277.9
119,East Carolina,7,254,160,63,1950,7.7,9,9,132.08,36.3,278.6
120,Louisiana-Monroe,7,246,172,69.9,1958,8,20,8,157.11,35.1,279.7
121,Michigan State,7,329,205,62.3,1998,6.1,9,6,118.7,47,285.4
122,Vanderbilt,8,288,184,63.9,2291,8,22,10,148.98,36,286.4
123,Arkansas State,7,204,123,60.3,2016,9.9,18,6,166.54,29.1,288
124,UNLV,7,230,164,71.3,2025,8.8,17,5,165.29,32.9,289.3
125,UCLA,8,311,200,64.3,2327,7.5,13,8,135.81,38.9,290.9
126,Hawai'i,8,356,193,54.2,2376,6.7,14,10,117.63,44.5,297
126,Louisiana Tech,7,278,187,67.3,2079,7.5,16,4,146.2,39.7,297
128,Tulane,7,243,166,68.3,2101,8.6,19,5,162.62,34.7,300.1
129,Florida International,7,253,176,69.6,2153,8.5,20,1,166.35,36.1,307.6
130,Georgia Southern,7,257,163,63.4,2438,9.5,23,4,169.52,36.7,348.3
